Zipcode ID,Census Year,WA Zipcode,Median Household Income,Income Per Capita,Population
704,2021,98007,111361,60447,28576
705,2021,98239,74746,43554,7409
706,2021,98380,101550,39446,5753
707,2021,98223,93015,42636,45253
708,2021,98512,78161,41018,30251
709,2021,99161,83625,38878,1373
710,2021,98232,94737,47218,4030
711,2021,98023,87820,37515,51811
712,2021,98092,101725,42339,50845
713,2021,98310,62539,34206,21635
714,2021,98349,71058,31842,5272
715,2021,98467,86021,40993,15382
716,2021,98311,83772,37345,27170
717,2021,98226,70522,38155,45373
718,2021,98922,68365,42948,7162
719,2021,98675,85985,36342,7083
720,2021,98277,66552,32791,40112
721,2021,98445,75677,31834,32304
722,2021,98620,45792,28698,7711
723,2021,98339,57375,32108,3304
724,2021,98220,102014,37029,578
725,2021,99169,56090,29209,2643
726,2021,98592,75574,36472,1543
727,2021,98360,100078,40745,14591
728,2021,98588,74479,49683,1490
729,2021,98333,138175,75150,3534
730,2021,98422,103171,45509,22002
731,2021,98936,72432,25966,7589
732,2021,98363,62858,32219,14245
733,2021,98146,91667,43289,27879
734,2021,98387,84690,33441,52017
735,2021,98664,71607,36041,23141
736,2021,99218,59433,32410,15233
737,2021,98261,67938,44641,3034
738,2021,98826,70523,43431,7505
739,2021,98158,-666666666,-666666666,0
740,2021,98648,72333,31416,3283
741,2021,99301,72990,28961,84124
742,2021,98408,64297,29650,22016
743,2021,98597,82341,33946,26222
744,2021,98855,42878,23993,5870
745,2021,99019,100729,44370,12261
746,2021,98340,72125,54529,3017
747,2021,98245,59527,51707,4122
748,2021,99204,45520,35043,7375
749,2021,98358,81125,50067,924
750,2021,99360,71442,27959,1460
751,2021,99216,56114,29858,27597
752,2021,98942,71175,32366,17949
753,2021,99217,68336,33561,19226
754,2021,98424,78257,34197,12019
755,2021,98264,80611,35907,22005
756,2021,98520,50510,24223,25064
757,2021,98303,85625,48032,1564
758,2021,98243,77813,69597,270
759,2021,98346,97139,46315,9371
760,2021,98377,43438,24391,2057
761,2021,98405,67144,34955,24053
762,2021,99201,31313,31335,14147
763,2021,98284,74173,33548,27159
764,2021,98014,123982,60420,7736
765,2021,98418,64934,34350,9813
766,2021,98371,90797,41305,22741
767,2021,98528,64086,33301,13082
768,2021,99004,56554,30479,21836
769,2021,98541,57378,29203,10343
770,2021,98403,73025,50399,8441
771,2021,98359,85714,37885,4991
772,2021,98252,86884,36633,10246
773,2021,98823,71987,30973,12514
774,2021,98642,101314,45130,22934
775,2021,98557,63815,27422,3650
776,2021,98248,80716,34882,26404
777,2021,98375,94098,33664,31973
778,2021,98148,77490,38933,11068
779,2021,98188,71223,38041,27524
780,2021,98043,87920,44533,21265
781,2021,98409,58619,29134,28403
782,2021,98660,57049,41595,12917
783,2021,98362,57858,32577,24462
784,2021,98249,82474,60360,4229
785,2021,98576,82419,32209,5277
786,2021,98944,50859,18021,25194
787,2021,98582,112778,44646,177
788,2021,99114,51713,28544,13134
789,2021,98019,145655,56356,11290
790,2021,99207,46659,24671,32732
791,2021,99027,69275,37173,5832
792,2021,98856,63582,30907,2595
793,2021,98328,101691,40356,10505
794,2021,99003,63662,37254,4147
795,2021,98569,54083,30958,6826
796,2021,98671,97692,44404,23782
797,2021,98365,79697,52172,4779
798,2021,99320,70889,30077,9756
799,2021,99403,56872,33222,20492
800,2021,98051,98049,39919,4272
801,2021,98626,64782,29446,26579
802,2021,99118,-666666666,27591,811
803,2021,99203,85516,50143,21500
804,2021,98244,68750,34202,3244
805,2021,99350,63392,26901,14101
806,2021,98354,82125,38424,8185
807,2021,98548,55557,33815,2197
808,2021,99353,110284,40842,17685
809,2021,98057,62469,44841,12351
810,2021,98816,63435,39384,6219
811,2021,98338,91202,37184,31996
812,2021,98577,62924,29638,7121
813,2021,98606,119709,48360,9551
814,2021,98850,58289,19784,1924
